description,description_link,country,project_title,notice_type,language,publish_date,project_link,project_id,status,team_leader,borrower,implementing_agency,total_project_cost,commitment_amount,closing_date
Travaux de réhabilitation des bureaux des UGP (Mohéli et Moroni),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353038,Comoros,Comoros Interisland Connectivity Project - P173114,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P173114,P173114,Active,Atsushi Iimi,The Union of Comoros,Ministry of Maritime and Air Transport,US$ 40.00 million,US$ 25.00 million,"June 30, 2028"
CONSTRUCTION OF MWAEPE FISH LANDING SITE AT SHIMONI KWALE COUNTY,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353124,Kenya,Marine Fisheries and Socio-Economic Development Project - P163980,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P163980,P163980,Active,Ben Miranga,The Republic of Kenya,"Ministry of Mining, Blue Economy and Maritime Affairs",US$ 100.00 million,US$ 100.00 million,"September 30, 2026"
Hiring of a Network Planning Analyst,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353194,Malawi,Digital Malawi Acceleration Project (DMAP) - P505095,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P505095,P505095,Active,"Luda Bujoreanu , Timothy Kelly",Republic of Malawi,Public Private Partnership Commission,US$ 0.00 million,US$ 70.00 million,"October 31, 2030"
Hiring of ICT Officer - 3,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353266,Malawi,Digital Malawi Acceleration Project (DMAP) - P505095,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P505095,P505095,Active,"Luda Bujoreanu , Timothy Kelly",Republic of Malawi,Public Private Partnership Commission,US$ 0.00 million,US$ 70.00 million,"October 31, 2030"
Procurement and Delivery of Office Furniture for Monrovia City Corporation (MCC) and Paynesville City Corporation (PCC) to Support Capacity Building Interventions,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353325,Liberia,Liberia Urban Resilience Project - P169718,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P169718,P169718,Active,Santiago Arias,Republic of Liberia,Ministry of Public Works,US$ 40.00 million,US$ 40.00 million,"June 30, 2028"
BRAGSA: Contract No.1 – The Supply of sand,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353353,St. Vincent and the Grenadines,Saint Vincent and the Grenadines: Beryl Emergency Resilient Recovery Project - P507316,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P507316,P507316,Active,Jared Mercadante,Saint Vincent and the Grenadines,"Ministry of Finance, Economic Planning, and Information Technology",US$ 0.00 million,US$ 63.00 million,"October 30, 2031"
Recrutement d'un consultant pour le Listing des ménages dans les zones de projet,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353525,Djibouti,Djibouti Empowering Communities for Better Nutrition - P170014,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P170014,P170014,Active,Alex Kamurase,Djiboutian Social Development Agency,Djiboutian Social Development Agency,US$ 2.50 million,US$ 2.50 million,"September 30, 2026"
Social Services Coach (Honiara/Guadalcanal),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353532,Solomon Islands,Community Access and Urban Services Enhancement Project II - P181295,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P181295,P181295,Active,"Sonya Woo , Andre Bald, Ifeta Smajic",Solomon Islands,"Honiara City Council,Ministry of Infrastructure Development",US$ 15.00 million,US$ 37.55 million,"September 30, 2030"
ASISTENTE FIDUCIARIO PARA LA UOD CHUQUISACA - CONSULTOR INDIVIDUAL DE LINEA PAR III,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353650,Bolivia,Innovation for Resilient Food Systems (Alianzas Rurales - PAR III) Project - P175672,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P175672,P175672,Active,Griselle Vega,Plurinational State of Bolivia,Ministry of Rural Development and Land,US$ 351.20 million,US$ 300.00 million,"November 30, 2027"
Regional Coordinator- SADA -Francophone Western and Central Africa,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353665,Western and Central Africa,Digital Transformation for Africa/ Western Africa Regional Digital Integration Program SOP1 - P176932,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P176932,P176932,Active,"Rocio Sanchez Vigueras , Rafael Pardo Ostos, Camila Mejia Giraldo, Eric Dunand","Islamic Republic of Mauritania,African Union (AU),The Economic Community of West African States (ECOWAS),Smart Africa Alliance,Republic of Guinea,Republic of The Gambia,Republic of Guinea-Bissau","The Economic Community of West African States (ECOWAS),Secretária de Estado das Telecomunicações e Economia Digital (Guinea-Bissau),Ministere de la Transition Numerique de l'Innovation et de la Modernisation de l'Administration (Mauritania),Smart Africa Alliance,Ministère de la Poste des Télécommunications et de l’Economie Numérique (MPTEN) (Guinea),African Union,Ministry of Communications and Digital Economy (The Gambia)",US$ 178.60 million,US$ 266.50 million,"December 29, 2028"
Infrastructural development of Lighthouse School Complex (LSC) - Government High School (GHS) Sitimi under Kiphire District,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353785,India,Nagaland: Enhancing Classroom Teaching and Resources - P172213,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P172213,P172213,Active,Kanupriya Misra,India,Nagaland (Department of School Education),US$ 85.00 million,US$ 68.00 million,"June 30, 2026"
Acquisition of Office Furniture for FCID,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353787,Southern Africa,Southern Africa Trade and Connectivity Project - P164847,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P164847,P164847,Active,"Ankur Huria , Laurent Corthay, Monica Moldovan","Republic of Malawi,Republic of Mozambique","Roads Authority, Republic of Malawi,Ministry of Transport and Logistics, Republic of Mozambique,Ministry of Transport and Public Works, Republic of Malawi",US$ 380.00 million,US$ 260.57 million,"June 30, 2027"
Acquisition of IT Equipment for FCID,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353819,Southern Africa,Southern Africa Trade and Connectivity Project - P164847,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P164847,P164847,Active,"Ankur Huria , Laurent Corthay, Monica Moldovan","Republic of Malawi,Republic of Mozambique","Roads Authority, Republic of Malawi,Ministry of Transport and Logistics, Republic of Mozambique,Ministry of Transport and Public Works, Republic of Malawi",US$ 380.00 million,US$ 260.57 million,"June 30, 2027"
DLI 4.3 Verification Consultancy - ELOUNDOU NGAH Armand,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353832,Western and Central Africa,First Africa Higher Education Centers of Excellence for Development Impact Project - P164546,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P164546,P164546,Active,"Namrata Tognatta , Xiaonan Cao","Republic of Ghana - Ministry of Finance,Burkina Faso - Ministry of Economy, Finance and Development,Republic of Senegal - Ministry of Finance and Economic Planning,Republic of Djibouti - Ministry of Economy, Finance and Industry,Republic of Guinea - Ministry of Economy and Finance",The Association of African Universities,US$ 258.50 million,US$ 143.00 million,"June 30, 2025"
Développement de la plateforme du registre National des procédures administratives,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353887,Tunisia,Digital Transformation for User-Centric Public Services - P168425,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P168425,P168425,Active,"Dolele Sylla , Arthur Foch, Mohamed Ben Ghachem",Republic of Tunisia,"Office of the Prime Minister (Directorate General for Reforms and Administrative Forecasts),Ministry of Information Technology and Communication,Ministry of Education,Ministry of Health,Ministry of Social Affairs,Ministry of Finance",US$ 100.00 million,US$ 100.00 million,"June 20, 2025"
Procurement of Honey processing Machine for Honey plant in Fik Woreda,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353892,Ethiopia,Lowlands Livelihood Resilience Project - P164336,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P164336,P164336,Active,"Esayas Gebremeskel , Biruktayet Betremariam",Federal Democratic Republic of Ethiopia (FDRE),Ministry of Irrigation and Lowlands Development (MILLs),US$ 326.00 million,US$ 315.00 million,"October 10, 2025"
"Etude géotechnique des sites de construction des UCT à Mandroseza et périphérie, forages et bassins d'aération pour les UCT Ampiriky et Laniera",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353924,Madagascar,Madagascar National Water Project - P174477,Contract Award,French,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P174477,P174477,Active,Pierre Boulenger,Republic of Madagascar,"Ministère Eau, Assainissement et Hygiene (MEAH),JIRAMA",US$ 220.00 million,US$ 220.00 million,"September 30, 2027"
Assistance Technique à la REGIDESO pour la digitalisation et la réduction des Eau Non Facturée (ENF),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353941,"Congo, Democratic Republic of",Access Governance & Reform for the Electricity and Water Sectors Project - P173506,Request for Expression of Interest,French,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P173506,P173506,Active,"Didier Tsasa , Fabrice Bertholet, Patrick Ndolo",DEMOCRATIC REPUBLIC OF CONGO,Ministère des Ressources Hydrauliques et de l'Electricité (MHRE),US$ 939.00 million,US$ 634.00 million,"September 30, 2029"
ASISTENTE DE SUBPROYECTOS PRODUCTIVOS PARA LA UOR RIBERALTA - CONSULTOR DE LINEA PAR III,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353956,Bolivia,Innovation for Resilient Food Systems (Alianzas Rurales - PAR III) Project - P175672,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P175672,P175672,Active,Griselle Vega,Plurinational State of Bolivia,Ministry of Rural Development and Land,US$ 351.20 million,US$ 300.00 million,"November 30, 2027"
Supply and delivery of advance tilapia under the Hurricane Beryl Recovery Project,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00353957,Jamaica,Second Rural Economic Development Initiative (REDI II) Project - P166279,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P166279,P166279,Active,"Kilara Suit , Ziva Razafintsalama","Ministry of Finance and the Public Service,Jamaica",Jamaica Social Investment Fund (JSIF),US$ 42.00 million,US$ 40.00 million,"September 30, 2025"
"Consultant for the preparation of Technical documentation (Detailed Energy Audit, Technical Design and Technical Monitoring and Verification) and Work supervision services for the implementation of the Component 1 of the MESDP",http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354044,Montenegro,Montenegro Energy Sector Decarbonization Project - P505964,Request for Expression of Interest,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P505964,P505964,Active,"Yuriy Myroshnychenko , Claudio Protano",Montenegro,"Crnogorski Elektrodistributivni Sistem (CEDIS),Ministry of Energy (MoE)",US$ 0.00 million,US$ 34.60 million,"April 30, 2030"
Consultancy Services to Produce Special Documentaries on the Status of SOCO Project Implementation,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354148,Western and Central Africa,Gulf of Guinea Northern Regions Social Cohesion project - P175043,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P175043,P175043,Active,"Susan Wong , Julia Lendorfer, Ashutosh Raina, Manuel Figueredo Thomson","Republic of Ghana,Republic of Côte d’Ivoire,Republic of Togo,Republic of Benin","Prime Minister’s Office (Côte d’Ivoire),General Secretariat of the Presidency (Benin),National Community Development Support Agency (ANADEB) (Togo),Ministry of Local Government Decentralisation and Rural Development (Ghana)",US$ 450.00 million,US$ 473.00 million,"December 31, 2027"
Supply of 10 Bicycles and Accessories for HIES Surveys,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354268,Tonga,Statistical Innovation and Capacity Building in Tonga - P171377,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P171377,P171377,Active,"William Seitz , Taufik Indrakesuma",Kingdom of Tonga,Tonga Statistics Department (TSD),US$ 2.00 million,US$ 2.00 million,"December 31, 2026"
TSS Trainer 1 - Gizo,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354278,Solomon Islands,Community Access and Urban Services Enhancement Project II - P181295,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P181295,P181295,Active,"Sonya Woo , Andre Bald, Ifeta Smajic",Solomon Islands,"Honiara City Council,Ministry of Infrastructure Development",US$ 15.00 million,US$ 37.55 million,"September 30, 2030"
Accounting Clerk 2 (PMU),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354305,Solomon Islands,Community Access and Urban Services Enhancement Project II - P181295,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P181295,P181295,Active,"Sonya Woo , Andre Bald, Ifeta Smajic",Solomon Islands,"Honiara City Council,Ministry of Infrastructure Development",US$ 15.00 million,US$ 37.55 million,"September 30, 2030"
Baseline Survey for the Fiji Tourism Development Program in Vanua Levu,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354366,Fiji,Fiji Tourism Development Program in Vanua Levu - P178694,Request for Expression of Interest,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P178694,P178694,Active,"Rajesh Rohatgi , Tawia Addo-Ashong","Ministry of Finance,Republic of Fiji","Ministry of Waterways and Environment,Airports Fiji Limited,Ministry of Fisheries,Ministry of Forestry,Savusavu Town Council,Labasa Town Council,Fiji Roads Authority,Ministry of Tourism and Civil Aviation,Ministry of Commerce, Trade, Tourism and Transport,Water Authority Fiji",US$ 40.00 million,US$ 61.50 million,"June 30, 2029"
Acquisition des équipements informatiques,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354388,Djibouti,Djibouti Health System Strengthening - P178033,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P178033,P178033,Active,Ana Besarabic,Republic of Djibouti,Ministry of Health,US$ 19.50 million,US$ 19.50 million,"May 31, 2027"
Fiscal Policy Consultant,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354389,Maldives,Maldives Competitiveness and Growth Project - P179286,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P179286,P179286,Active,"Karina Baba , Erdem Atas",Republic of Maldives,Ministry of Finance,US$ 12.00 million,US$ 15.00 million,"June 30, 2028"
GIS Property Mapping Survey and providing Unique QR based UID Cards in Amritsar,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354390,India,Punjab Municipal Services Improvement Project - P170811,Invitation for Bids,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P170811,P170811,Active,"Rosanna Nitti , Srinivasa Podipireddy",India,"Punjab Municipal Infrastructure Development Company,Ludhiana Municipal Corporation,Amritsar Municipal Corporation",US$ 300.00 million,US$ 210.00 million,"September 30, 2026"
Project Component Manager - NDOH (interim),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354396,Papua New Guinea,Child Nutrition and Social Protection Project - P174637,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P174637,P174637,Active,Ning Fu,Independent State of Papua New Guinea,"Department of Community Development and Religion,Department of Justice and Attorney General,National Department of Health",US$ 90.00 million,US$ 50.00 million,"December 31, 2027"
Procurement of Interactive Screen for PMU-KPHCIP,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354397,Pakistan,Khyber Pakhtunkhwa Human Capital Investment Project - P166309,Invitation for Bids,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P166309,P166309,Active,"James Gresham , Aliya Kashif",Islamic Republic of Pakistan,"Department of Health,Elementary and Secondary Education Department of Khyber Pakhtunkhwa",US$ 200.00 million,US$ 200.00 million,"June 30, 2025"
Procurement of 1 Printer for MCON,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354398,India,Mizoram Health Systems Strengthening Project - P173958,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P173958,P173958,Active,"Elina Pradhan , Amith Bathula","India (Department of Economic Affairs, Government of India)","Health and Family Welfare Department, Government of Mizoram",US$ 40.00 million,US$ 32.00 million,"March 31, 2026"
Senior Budgeting and Strategic Planning,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354399,Indonesia,ID for Inclusive Service Delivery and Digital Transformation in Indonesia - P175218,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P175218,P175218,Active,"Asha Williams , Jonathan Marskell",Republic of Indonesia,"General Directorate for Population and Civil Registration, Ministry of Home Affairs",US$ 250.00 million,US$ 250.00 million,"December 31, 2027"
National Forest Protection Consultant,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354400,Lao People's Democratic Republic,Lao Landscapes and Livelihoods Project - P170559,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P170559,P170559,Active,Maurice Rawlins,Lao People's Democratic Republic,Ministry of Agriculture and Forestry,US$ 57.37 million,US$ 50.00 million,"September 30, 2027"
Team Leader for Land Reforms Implementation Unit (LRIU),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354404,Eastern and Southern Africa,Food Systems Resilience Program for Eastern and Southern Africa (Phase 3) FSRP - P177816,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P177816,P177816,Active,"Benjamin Billard , Bobojon Yatimov, Jeehye Kim, Ghada Elabed, Mampionona Amboarasoa","The Union of Comoros,The Republic of Malawi,The Republic of Kenya,African Union,The Federal Republic of Somalia","Ministry of Agriculture & Livestock Development (MoALD), Kenya,Ministry of Agriculture, Fisheries, Environment, Tourism and Handicrafts (MAPETA), Comoros,Ministry of Agriculture, Malawi,African Union Commission,Ministry of Agriculture and Irrigation (MoAI), Somalia",US$ 375.00 million,US$ 682.00 million,"August 31, 2029"
Fiscal Policy Consultant,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354405,Maldives,Maldives Competitiveness and Growth Project - P179286,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P179286,P179286,Active,"Karina Baba , Erdem Atas",Republic of Maldives,Ministry of Finance,US$ 12.00 million,US$ 15.00 million,"June 30, 2028"
Public Investment Management Consultant,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354406,Maldives,Maldives Competitiveness and Growth Project - P179286,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P179286,P179286,Active,"Karina Baba , Erdem Atas",Republic of Maldives,Ministry of Finance,US$ 12.00 million,US$ 15.00 million,"June 30, 2028"
Multi-function printers for FBR's field offices across the country.,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354407,Pakistan,Pakistan Raises Revenue - P165982,Invitation for Bids,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P165982,P165982,Active,Tobias Haque,Islamic Republic of Pakistan,Federal Board of Revenue,US$ 1600.00 million,US$ 400.00 million,"June 30, 2025"
Hiring of Consultancy firm for Formulation of Punjab Disaster Risk Management & Financing Strategy,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354408,Pakistan,Punjab Resource Improvement and Digital Effectiveness - P171417,Request for Expression of Interest,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P171417,P171417,Active,"Akmal Minallah , Derek Chen, Irum Touqeer",Islamic Republic of Pakistan,"Finance Department, Government of Punjab",US$ 554.00 million,US$ 304.00 million,"August 25, 2025"
Procurement of Venues and accommodation services,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354409,Lebanon,Support for Social Recovery Needs of Vulnerable Groups Phase II - P506127,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P506127,P506127,Active,"Marcelo Fabre , Jeremy Tomlinson",International Rescue Committee Inc,International Rescue Committee Lebanon,US$ 0.00 million,US$ 0.00 million,"June 30, 2026"
Supply of lime (Grade 1),http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354410,Rwanda,Commercialization and De-Risking for Agricultural Transformation Project - P171462,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P171462,P171462,Active,"Asa Restrepo Giertz , Brice Gakombe, Esdras Byiringiro","Ministry of Finance and Economic Planning (MINECOFIN), Republic of Rwanda","Rwanda Agriculture and Animal Resources Development Board,Development Bank of Rwanda",US$ 302.00 million,US$ 224.00 million,"April 30, 2027"
Analista Técnico para análisis de funcionalidades de la plataforma PerúCRIS,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354414,Peru,"STRENGTHENING PERU'S NATIONAL SCIENCE, TECHNOLOGY AND INNOVATION SYSTEM - P176297",Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P176297,P176297,Active,"Ifeyinwa Bonheur , Suhas Parandekar",Republic of Peru,Programa Nacional de Investigación Científica y Estudios Avanzados (PROCIENCIA),US$ 125.00 million,US$ 100.00 million,"December 30, 2027"
Environmental Safeguards Specialist,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00354415,Eastern and Southern Africa,Food Systems Resilience Program for Eastern and Southern Africa (Phase 3) FSRP - P177816,Contract Award,English,"April 28, 2025",http://projects.worldbank.org/en/projects-operations/project-detail/P177816,P177816,Active,"Benjamin Billard , Bobojon Yatimov, Jeehye Kim, Ghada Elabed, Mampionona Amboarasoa","The Union of Comoros,The Republic of Malawi,The Republic of Kenya,African Union,The Federal Republic of Somalia","Ministry of Agriculture & Livestock Development (MoALD), Kenya,Ministry of Agriculture, Fisheries, Environment, Tourism and Handicrafts (MAPETA), Comoros,Ministry of Agriculture, Malawi,African Union Commission,Ministry of Agriculture and Irrigation (MoAI), Somalia",US$ 375.00 million,US$ 682.00 million,"August 31, 2029"
